strategy,code,name,rank,score,close,status,r7_exposure,risk_on
R7,6108,競國,203,0.6038124716552961,23.3,PREP_HARD_CANDIDATE,0.8,True
R7,3231,緯創,204,0.6033996026932642,185.0,PREP_HARD_CANDIDATE,0.8,True
R7,2727,王品,205,0.6028687639668169,229.5,PREP_HARD_CANDIDATE,0.8,True
R7,3044,健鼎,206,0.6020759895581219,503.0,PREP_HARD_CANDIDATE,0.8,True
R7,2915,潤泰全,207,0.6020363901608551,56.9,PREP_HARD_CANDIDATE,0.8,True
R7,4771,望隼,208,0.6015287515928232,203.0,PREP_HARD_CANDIDATE,0.8,True
R7,3714,富采,209,0.5982227761218217,62.0,PREP_HARD_CANDIDATE,0.8,True
R7,6526,達發,210,0.5974340401867334,642.0,PREP_HARD_CANDIDATE,0.8,True
R7,2002,中鋼,211,0.5967568102887028,19.1,PREP_HARD_CANDIDATE,0.8,True
R7,1909,榮成,212,0.5952344581638883,10.65,PREP_HARD_CANDIDATE,0.8,True
R7,8464,億豐,213,0.5946737877666728,368.5,PREP_HARD_CANDIDATE,0.8,True
R7,6716,應廣,214,0.5896717975096276,120.0,PREP_HARD_CANDIDATE,0.8,True
R7,9941,裕融,215,0.5875812386515542,80.3,PREP_HARD_CANDIDATE,0.8,True
R7,7769,鴻勁,216,0.5838947441921418,6475.0,PREP_HARD_CANDIDATE,0.8,True
R7,1609,大亞,217,0.5807222230360499,37.75,PREP_HARD_CANDIDATE,0.8,True
R7,8996,高力,218,0.5775667050911677,1300.0,PREP_HARD_CANDIDATE,0.8,True
R7,2392,正崴,219,0.5670349983706636,43.4,PREP_HARD_CANDIDATE,0.8,True
R7,1216,統一,220,0.5631541369271607,75.6,PREP_HARD_CANDIDATE,0.8,True
R7,2006,東和鋼鐵,221,0.5619041491426412,81.2,PREP_HARD_CANDIDATE,0.8,True
R7,6419,京晨科,222,0.5609093691993458,158.5,PREP_HARD_CANDIDATE,0.8,True
R7,9945,潤泰新,223,0.5579724092282594,27.75,PREP_HARD_CANDIDATE,0.8,True
R7,3515,華擎,224,0.5574477626812887,221.5,PREP_HARD_CANDIDATE,0.8,True
R7,6533,晶心科,225,0.5568544410033641,246.0,PREP_HARD_CANDIDATE,0.8,True
R7,1727,中華化,226,0.5562282787727391,90.4,PREP_HARD_CANDIDATE,0.8,True
R7,6239,力成,227,0.5490760968754591,283.5,PREP_HARD_CANDIDATE,0.8,True
R7,3479,安勤,228,0.5488395526549434,133.0,PREP_HARD_CANDIDATE,0.8,True
R7,2027,大成鋼,229,0.5466799098875943,48.2,PREP_HARD_CANDIDATE,0.8,True
R7,2641,正德,230,0.5454199721523907,17.85,PREP_HARD_CANDIDATE,0.8,True
R7,6213,聯茂,231,0.5447118660263264,519.0,PREP_HARD_CANDIDATE,0.8,True
R7,6782,視陽,232,0.5446235585715443,227.5,PREP_HARD_CANDIDATE,0.8,True
R7,2466,冠西電,233,0.5436358216854432,101.5,PREP_HARD_CANDIDATE,0.8,True
R7,3019,亞光,234,0.5428659043988809,139.0,PREP_HARD_CANDIDATE,0.8,True
R7,1316,上曜,235,0.5419552095326012,11.05,PREP_HARD_CANDIDATE,0.8,True
R7,1210,大成,236,0.5391555358036323,52.3,PREP_HARD_CANDIDATE,0.8,True
R7,1440,南紡,237,0.5390585173505972,13.5,PREP_HARD_CANDIDATE,0.8,True
R7,6712,長聖,238,0.5365779404072122,156.5,PREP_HARD_CANDIDATE,0.8,True
R7,2049,上銀,239,0.535560510236675,363.0,PREP_HARD_CANDIDATE,0.8,True
R7,2362,藍天,240,0.5353045304963463,47.6,PREP_HARD_CANDIDATE,0.8,True
R7,5534,長虹,241,0.5352881950594197,74.5,PREP_HARD_CANDIDATE,0.8,True
R7,4979,華星光,242,0.5303555907058026,571.0,PREP_HARD_CANDIDATE,0.8,True
R7,3135,凌航,243,0.5299510744228086,167.0,PREP_HARD_CANDIDATE,0.8,True
R7,5434,崇越,244,0.5295732353105783,527.0,PREP_HARD_CANDIDATE,0.8,True
R7,2377,微星,245,0.529479334068172,149.0,PREP_HARD_CANDIDATE,0.8,True
R7,4766,南寶,246,0.5285171940187352,339.0,PREP_HARD_CANDIDATE,0.8,True
R7,6668,中揚光,247,0.5277145808470953,41.05,PREP_HARD_CANDIDATE,0.8,True
R7,6278,台表科,248,0.5240649244260944,191.5,PREP_HARD_CANDIDATE,0.8,True
R7,2546,根基,249,0.5221740116139939,103.5,PREP_HARD_CANDIDATE,0.8,True
R7,2399,映泰,250,0.5214869630875811,45.35,PREP_HARD_CANDIDATE,0.8,True
R7,3081,聯亞,251,0.5180460610862394,2830.0,PREP_HARD_CANDIDATE,0.8,True
R7,3260,威剛,252,0.517108630783926,407.0,PREP_HARD_CANDIDATE,0.8,True
R7,3617,碩天,253,0.5112384780459757,239.0,PREP_HARD_CANDIDATE,0.8,True
R7,4303,信立,254,0.5062859749499418,36.9,PREP_HARD_CANDIDATE,0.8,True
R7,2376,技嘉,255,0.5051056043226673,351.5,PREP_HARD_CANDIDATE,0.8,True
R7,2408,南亞科,256,0.5001566123940626,515.0,PREP_HARD_CANDIDATE,0.8,True
R7,6605,帝寶,257,0.49952999321238994,135.5,PREP_HARD_CANDIDATE,0.8,True
R7,2009,第一銅,258,0.49782494805644184,40.25,PREP_HARD_CANDIDATE,0.8,True
R7,1708,東鹼,259,0.4968986670579381,49.4,PREP_HARD_CANDIDATE,0.8,True
R7,2601,益航,260,0.4956441814822825,6.66,PREP_HARD_CANDIDATE,0.8,True
R7,2395,研華,261,0.49439610271261986,659.0,PREP_HARD_CANDIDATE,0.8,True
R7,7795,長廣,262,0.492162961895711,534.0,PREP_HARD_CANDIDATE,0.8,True
R7,2344,華邦電,263,0.4894782874878181,179.5,PREP_HARD_CANDIDATE,0.8,True
R7,2317,鴻海,264,0.48565490212954676,251.0,PREP_HARD_CANDIDATE,0.8,True
R7,3014,聯陽,265,0.4850147419693029,131.5,PREP_HARD_CANDIDATE,0.8,True
R7,2031,新光鋼,266,0.48034015056165125,44.45,PREP_HARD_CANDIDATE,0.8,True
R7,1313,聯成,267,0.4796856248131944,11.85,PREP_HARD_CANDIDATE,0.8,True
R7,6187,萬潤,268,0.47363655785258485,1280.0,PREP_HARD_CANDIDATE,0.8,True
R7,2613,中櫃,269,0.4730861132660934,22.2,PREP_HARD_CANDIDATE,0.8,True
R7,6757,台灣虎航,270,0.4638924989519376,54.2,PREP_HARD_CANDIDATE,0.8,True
R7,2850,新產,271,0.4619983492539902,157.5,PREP_HARD_CANDIDATE,0.8,True
R7,6509,聚和,272,0.46055024961171104,45.8,PREP_HARD_CANDIDATE,0.8,True
R7,5515,建國,273,0.45948458882990556,50.0,PREP_HARD_CANDIDATE,0.8,True
R7,1503,士電,274,0.4591302004026509,205.0,PREP_HARD_CANDIDATE,0.8,True
R7,2379,瑞昱,275,0.4576456183898923,696.0,PREP_HARD_CANDIDATE,0.8,True
R7,2324,仁寶,276,0.4571794317209081,38.65,PREP_HARD_CANDIDATE,0.8,True
R7,1608,華榮,277,0.4562236834525402,36.45,PREP_HARD_CANDIDATE,0.8,True
R7,1504,東元,278,0.4549509924719555,70.6,PREP_HARD_CANDIDATE,0.8,True
R7,6491,晶碩,279,0.4519857023807814,366.5,PREP_HARD_CANDIDATE,0.8,True
R7,3504,揚明光,280,0.450862814849925,83.9,PREP_HARD_CANDIDATE,0.8,True
R7,2610,華航,281,0.450528072624431,20.2,PREP_HARD_CANDIDATE,0.8,True
R7,3176,基亞,282,0.4494792218989261,34.95,PREP_HARD_CANDIDATE,0.8,True
R7,3702,大聯大,283,0.449246065477293,108.0,PREP_HARD_CANDIDATE,0.8,True
R7,9925,新保,284,0.4482267791703313,39.7,PREP_HARD_CANDIDATE,0.8,True
R7,2464,盟立,285,0.44771995534847964,193.5,PREP_HARD_CANDIDATE,0.8,True
R7,3088,艾訊,286,0.4459979688425759,126.0,PREP_HARD_CANDIDATE,0.8,True
R7,6691,洋基工程,287,0.4400060027241999,622.0,PREP_HARD_CANDIDATE,0.8,True
