code,name,entry_date,exit_date,shares,buy_price,sell_open_reference,sell_execution_price,buy_commission,sell_commission,sell_tax,gross_buy_value,gross_sell_value,total_costs,net_pnl,net_return,hold_sessions,exit_reason
6584,南俊國際,20240219,20240305,1000,160.5,190.0,186.0,228.7125,265.05,558.0,160500.0,186000.0,1051.7625,24448.237500000017,0.15210871237458595,10,R7_RANK_EXIT
6227,茂綸,20240305,20240311,3000,64.4,62.0,60.7,275.31000000000006,259.4925,546.3000000000001,193200.00000000003,182100.0,1081.1025,-12181.102500000008,-0.0629594675413623,4,R7_RANK_EXIT
6829,千附精密,20240305,20240311,1000,134.0,124.5,122.0,190.95000000000002,173.85,366.0,134000.0,122000.0,730.8,-12730.800000000017,-0.09487077928876736,4,R7_RANK_EXIT
5386,青雲,20240311,20240325,2000,68.5,85.0,83.30000000000001,195.225,237.40500000000006,499.8000000000001,137000.0,166600.00000000003,932.4300000000002,28667.570000000036,0.20895457549634133,10,R7_RANK_EXIT
6188,廣明,20240325,20240326,1000,101.5,101.5,99.4,144.63750000000002,141.645,298.2,101500.0,99400.0,584.4825000000001,-2684.4824999999983,-0.02641046853061971,1,R7_RANK_EXIT
6753,龍德造船,20240326,20240327,1000,117.5,119.5,117.0,167.4375,166.725,351.0,117500.0,117000.0,685.1625,-1185.1625000000058,-0.010072136567094069,1,R7_RANK_EXIT
6640,均華,20240326,20240328,400,388.5,395.5,387.5,221.44500000000002,220.875,465.0,155400.0,155000.0,907.32,-1307.320000000007,-0.008400641698192733,2,R7_RANK_EXIT
1616,億泰,20240327,20240417,8000,22.25,21.25,20.8,253.65,237.12,499.2,178000.0,166400.0,989.97,-12589.970000000001,-0.07062952147122935,13,R7_RANK_EXIT
4127,天良,20240328,20240417,6000,31.6,37.6,36.800000000000004,270.18,314.64000000000004,662.4000000000001,189600.0,220800.00000000003,1247.2200000000003,29952.780000000028,0.1577539980211744,12,R7_RANK_EXIT
2359,所羅門,20240328,20240417,2000,71.3,94.8,92.9,203.205,264.765,557.4,142600.0,185800.0,1025.37,42174.630000000005,0.2953339177506556,12,R7_RANK_EXIT
2704,國賓,20240328,20240417,3000,63.7,69.8,68.4,272.3175,292.41,615.6000000000001,191100.0,205200.00000000003,1180.3275,12919.672500000015,0.0675106654336253,12,R7_RANK_EXIT
1514,亞力,20240418,20240423,1000,177.5,155.0,151.5,252.9375,215.88750000000002,454.5,177500.0,151500.0,923.325,-26923.32500000001,-0.15146486679017618,3,R7_HARD_STOP
9955,佳龍,20240418,20240424,5000,37.800000000000004,32.4,31.75,269.32500000000005,226.21875,476.25,189000.00000000003,158750.0,971.79375,-31221.79375000004,-0.16495960848383664,4,R7_HARD_STOP
2363,矽統,20240417,20240502,2000,65.4,61.8,60.5,186.39000000000001,172.425,363.0,130800.00000000001,121000.0,721.815,-10521.815000000017,-0.08032754395323068,10,R7_RANK_EXIT
6177,達麗,20240502,20240503,2000,65.4,63.6,62.300000000000004,186.39000000000001,177.55500000000004,373.80000000000007,130800.00000000001,124600.00000000001,737.7450000000001,-6937.744999999995,-0.05296538823613655,1,R7_RANK_EXIT
6552,易華電,20240502,20240503,4000,48.5,49.6,48.6,276.45,277.02,583.2,194000.0,194400.0,1136.67,-736.6700000000128,-0.003791864634133539,1,R7_RANK_EXIT
3234,光環,20240502,20240507,3000,49.0,46.5,45.550000000000004,209.475,194.72625,409.95,147000.0,136650.0,814.1512499999999,-11164.151250000024,-0.07583853722730839,3,R7_RANK_EXIT
2745,五福,20240503,20240507,1000,131.5,136.0,133.0,187.38750000000002,189.525,399.0,131500.0,133000.0,775.9125,724.0874999999942,0.005498533411181797,2,R7_RANK_EXIT
5508,永信建,20240502,20240509,800,211.5,216.0,211.5,241.11,241.11,507.6,169200.0,169200.0,989.82,-989.8199999999779,-0.00584167561225241,5,R7_RANK_EXIT
1453,大將,20240507,20240509,6000,29.650000000000002,27.3,26.75,253.50750000000002,228.7125,481.5,177900.0,160500.0,963.72,-18363.72,-0.103078071589469,2,R7_RANK_EXIT
1436,華友聯,20240507,20240509,1000,160.5,152.0,148.5,228.7125,211.6125,445.5,160500.0,148500.0,885.825,-12885.824999999983,-0.08017126995899991,2,R7_RANK_EXIT
4967,十銓,20240509,20240510,1000,115.0,112.0,109.5,163.875,156.0375,328.5,115000.0,109500.0,648.4125,-6148.412500000006,-0.05338837808297095,1,R7_RANK_EXIT
3466,德晉,20240507,20240514,3000,54.1,54.7,53.6,231.2775,229.14000000000001,482.40000000000003,162300.0,160800.0,942.8175000000001,-2442.8175000000047,-0.01502983018145541,5,R7_RANK_EXIT
2615,萬海,20240514,20240515,2000,70.7,69.0,67.60000000000001,201.495,192.66000000000005,405.6000000000001,141400.0,135200.00000000003,799.7550000000001,-6999.754999999976,-0.049432776115816965,1,R7_RANK_EXIT
6419,京晨科,20240510,20240531,1000,95.5,134.5,131.5,136.0875,187.38750000000002,394.5,95500.0,131500.0,717.975,35282.024999999994,0.368919577560092,15,R7_RANK_EXIT
4562,穎漢,20240514,20240531,6000,28.75,39.65,38.85,245.8125,332.1675,699.3000000000001,172500.0,233100.0,1277.2800000000002,59322.72,0.34341046617266047,13,R7_RANK_EXIT
2609,陽明,20240514,20240531,1000,68.5,80.3,78.60000000000001,97.6125,112.00500000000002,235.80000000000004,68500.0,78600.00000000001,445.4175,9654.582500000004,0.14074225250915262,13,R7_RANK_EXIT
5392,能率,20240517,20240531,5000,37.6,38.7,37.9,267.90000000000003,270.0375,568.5,188000.0,189500.0,1106.4375,393.5625,0.0020904386780752323,10,R7_RANK_EXIT
4728,雙美,20240531,20240612,600,320.0,300.5,294.0,273.6,251.37,529.2,192000.0,176400.0,1054.17,-16654.170000000013,-0.08661703946875708,7,R7_RANK_EXIT
2537,聯上發,20240612,20240617,8000,24.25,24.5,24.0,276.45,273.6,576.0,194000.0,192000.0,1126.05,-3126.0500000000175,-0.016090730502847962,3,R7_RANK_EXIT
