strategy,code,name,entry_date,exit_date,shares,buy_price,sell_open,sell_price,net_pnl,net_return,hold_sessions,exit_reason
R7,6753,龍德造船,20240326,20240327,1000,117.5,119.5,118.5,442.72000000000116,0.0037646110447907563,1,R7_RANK_EXIT
R7,6640,均華,20240326,20240328,360,386.5,395.5,393.5,1854.935999999987,0.01332004732331596,2,R7_RANK_EXIT
R7,1616,億泰,20240327,20240417,6000,22.25,21.25,21.1,-7502.185499999978,-0.05614813940822154,13,R7_RANK_EXIT
R0.5,6179,亞通,20240327,20240417,3000,36.75,31.9,31.700000000000003,-15610.874249999993,-0.14147427079099065,13,R05_HARD_STOP
R7,4127,天良,20240328,20240417,4000,31.4,37.6,37.4,23315.90400000001,0.18547759500022393,12,R7_RANK_EXIT
R7,2359,所羅門,20240328,20240417,2000,71.3,94.8,94.30000000000001,45151.024000000034,0.316356611871044,12,R7_RANK_EXIT
R7,6177,達麗,20240502,20240503,2000,65.0,63.6,63.2,-4198.421999999991,-0.03226796473630424,1,R7_RANK_EXIT
R7,2745,五福,20240503,20240507,1000,131.5,136.0,135.0,2867.1425000000163,0.021784739067109152,2,R7_RANK_EXIT
R7,5508,永信建,20240502,20240509,750,210.0,216.0,214.5,2620.164374999993,0.016621752687166712,5,R7_RANK_EXIT
R7,4967,十銓,20240509,20240510,1000,115.0,112.0,111.0,-4526.229999999996,-0.0393248989505277,1,R7_RANK_EXIT
R7,3466,德晉,20240507,20240514,3000,54.1,54.7,54.400000000000006,132.0975000000326,0.0008132141289070463,5,R7_RANK_EXIT
R7,2615,萬海,20240514,20240515,2000,70.3,69.0,68.60000000000001,-4049.118999999977,-0.028774252921291252,1,R7_RANK_EXIT
R7,2613,中櫃,20240515,20240517,5000,29.6,30.0,29.85,548.1012499999779,0.0037002231335449935,2,R7_RANK_EXIT
R7,6419,京晨科,20240510,20240531,1000,95.0,134.5,133.5,37904.13250000001,0.3986500226516855,15,R7_RANK_EXIT
R7,5392,能率,20240517,20240531,4000,37.6,38.7,38.5,2877.737999999983,0.019117550770686696,10,R7_RANK_EXIT
R0.5,1409,新纖,20240306,20240603,9000,16.75,17.2,17.1,2427.824250000005,0.016091212162854526,60,R05_MAX_HOLD_60
R7,4728,雙美,20240531,20240612,551,320.0,300.5,298.5,-12631.298942499998,-0.07157729360147073,7,R7_RANK_EXIT
R7,3122,笙泉,20240612,20240624,3000,57.6,54.7,54.400000000000006,-10376.879999999976,-0.06000008881295367,8,R7_RANK_EXIT
R7,6442,光聖,20240612,20240624,705,246.5,319.5,317.5,49043.52239999999,0.28197100404103775,8,R7_RANK_EXIT
R7,5484,慧友,20240624,20240625,4000,71.4,68.0,67.60000000000001,-16486.579999999958,-0.057676806778383605,1,R7_RANK_EXIT
R7,2438,翔耀,20240624,20240715,6000,50.3,84.8,84.30000000000001,201792.10200000007,0.6680573795289722,15,R7_RANK_EXIT
R7,3652,精聯,20240625,20240715,7000,43.7,45.0,44.75,5880.876749999996,0.019208410904786234,14,R7_RANK_EXIT
R0.5,4532,瑞智,20240419,20240716,5000,27.75,28.6,28.450000000000003,2832.9949999999953,0.020400539520691756,60,R05_MAX_HOLD_60
R0.5,2442,新美齊,20240419,20240716,5000,28.05,33.6,33.4,25986.30124999999,0.18512728657995622,60,R05_MAX_HOLD_60
R7,3379,彬台,20240715,20240719,10000,43.4,42.8,42.550000000000004,-10511.37249999994,-0.024199062106046654,4,R7_RANK_EXIT
R7,1799,易威,20240719,20240723,2000,192.5,163.0,162.0,-62578.19500000001,-0.16240191259849454,2,R7_HARD_STOP
R7,4903,聯光通,20240719,20240723,6000,31.55,27.15,27.0,-28086.3615,-0.14824283240998518,2,R7_HARD_STOP
R7,3188,鑫龍騰,20240729,20240730,6000,47.7,55.1,54.800000000000004,41087.774999999965,0.14344051349722808,1,R7_REGIME_EXIT
R7,4907,富宇,20240731,20240805,3000,115.0,96.8,96.30000000000001,-57508.684499999916,-0.16654943935978195,3,R7_REGIME_EXIT
R7,2524,京城,20240802,20240805,3000,111.0,109.0,108.0,-10533.735000000044,-0.03160581486612743,1,R7_REGIME_EXIT
R7,4513,福裕,20240802,20240805,6000,69.0,69.0,68.60000000000001,-4340.687999999907,-0.010475796816909725,1,R7_REGIME_EXIT
R0.5,1802,台玻,20240603,20240806,8000,18.05,15.6,15.5,-21001.482000000004,-0.1453153813876947,43,R05_HARD_STOP
R0.5,5905,南仁湖,20240718,20240807,24000,16.3,14.5,14.4,-47266.764000000025,-0.12072184417292546,12,R05_HARD_STOP
R7,2364,倫飛,20240819,20240828,1000,118.0,128.0,127.0,8409.524999999994,0.07120627964785019,7,R7_RANK_EXIT
R7,8937,合騏,20240819,20240905,3000,46.05,67.7,67.3,62853.55724999998,0.45457736783801195,13,R7_REGIME_EXIT
R7,3550,聯穎,20240828,20240905,8000,21.7,24.0,23.85,16316.038,0.09390610429004859,6,R7_REGIME_EXIT
R7,8032,光菱,20240919,20240925,7000,45.65,42.6,42.35,-24516.02999999997,-0.0766549419523415,4,R7_RANK_EXIT
R7,5438,東友,20240919,20240925,13000,27.2,26.2,26.05,-16557.82374999998,-0.04678642224133655,4,R7_RANK_EXIT
