decision_date,execute_date,side,code,shares,limit_price,filled,reason,fill_price,target_cash
20220317,20220318,BUY,2545,3000,47.5,False,LIMIT_NOT_TOUCHED,,
20220401,20220406,BUY,5603,3000,49.650000000000006,False,LIMIT_NOT_TOUCHED,,
20220401,20220406,BUY,3558,1000,162.0,False,LIMIT_NOT_TOUCHED,,
20220406,20220407,BUY,3558,1000,171.0,True,R10_FIXED_T1_LIMIT,171.0,171852.52797246602
20220406,20220407,BUY,5603,3000,53.900000000000006,True,R10_FIXED_T1_LIMIT,53.9,171852.52797246602
20220407,20220408,SELL,3558,1000,,True,R7_REGIME_EXIT,176.5,
20220407,20220408,SELL,5603,3000,,True,R7_REGIME_EXIT,52.300000000000004,
20220408,20220411,BUY,4133,2000,62.6,False,LIMIT_NOT_TOUCHED,,
20220408,20220411,BUY,3558,938,183.0,True,R10_FIXED_T1_LIMIT,183.0,171766.42613796602
20220411,20220412,SELL,3558,938,,True,R7_REGIME_EXIT,188.0,
20220531,20220601,BUY,5258,3000,47.7,False,LIMIT_NOT_TOUCHED,,
20220531,20220601,BUY,8097,2000,74.0,False,LIMIT_NOT_TOUCHED,,
20220606,20220607,BUY,2736,7000,23.05,True,R10_FIXED_T1_LIMIT,23.05,172148.905679256
20220606,20220607,BUY,6609,4000,41.25,False,LIMIT_NOT_TOUCHED,,
20220609,20220610,BUY,6715,1000,128.0,True,R10_FIXED_T1_LIMIT,128.0,173451.948208506
20220614,20220615,SELL,2736,7000,,True,R7_REGIME_EXIT,26.650000000000002,
20220614,20220615,SELL,6715,1000,,True,R7_REGIME_EXIT,137.5,
20220729,20220801,BUY,6220,5000,29.8,True,R10_FIXED_T1_LIMIT,29.8,175436.04158625603
20220729,20220801,BUY,8996,2000,77.0,False,LIMIT_NOT_TOUCHED,,
20220802,20220803,SELL,6220,5000,,True,R7_REGIME_EXIT,28.0,
20220805,20220808,BUY,3231,5000,27.200000000000003,True,R10_FIXED_T1_LIMIT,27.2,158617.27198296002
20220805,20220808,BUY,4908,4000,37.25,True,R10_FIXED_T1_LIMIT,36.75,158617.27198296002
20220809,20220810,BUY,3432,8000,21.55,False,LIMIT_NOT_TOUCHED,,
20220809,20220810,BUY,3710,12000,14.15,True,R10_FIXED_T1_LIMIT,14.05,175544.04464625602
20220811,20220812,SELL,3710,12000,,True,R7_RANK_EXIT,13.9,
20220811,20220812,BUY,9907,9000,19.0,False,LIMIT_NOT_TOUCHED,,
20220811,20220812,BUY,3047,10000,16.25,True,R10_FIXED_T1_LIMIT,16.25,175351.57349925602
20220817,20220818,BUY,2331,6000,25.55,True,R10_FIXED_T1_LIMIT,25.55,161396.64572796
20220829,20220830,SELL,3047,10000,,True,R7_REGIME_EXIT,18.05,
20220830,20220831,BUY,6589,1000,126.5,False,LIMIT_NOT_TOUCHED,,
20220830,20220831,BUY,4770,486,366.5,False,LIMIT_NOT_TOUCHED,,
20220928,20220929,SELL,4908,4000,,True,R05_HARD_STOP,33.800000000000004,
20221012,20221013,SELL,2331,6000,,True,R05_HARD_STOP,22.6,
20221101,20221102,SELL,3231,5000,,True,R05_MAX_HOLD_60,26.05,
20221111,20221114,BUY,8033,5000,33.300000000000004,True,R10_FIXED_T1_LIMIT,33.3,172242.48857250603
20221111,20221114,BUY,2727,1000,146.0,False,LIMIT_NOT_TOUCHED,,
20221122,20221123,SELL,8033,5000,,True,R7_RANK_EXIT,43.45,
