strategy,code,buy_date,sell_date,buy_bar_ok,buy_touch,expected_buy_from_raw,recorded_buy,buy_price_ok,sell_bar_ok,raw_sell_open,recorded_sell_open,sell_open_ok,sell_price_market_ok,match
R7,6715,20230919,20230921,True,True,157.0,157.0,True,True,155.0,155.0,True,True,True
R7,5321,20230915,20231012,True,True,106.5,106.5,True,True,95.8,95.8,True,True,True
R7,2417,20230921,20231012,True,True,25.85,25.85,True,True,33.1,33.1,True,True,True
R7,3122,20231012,20231013,True,True,44.3,44.3,True,True,46.1,46.1,True,True,True
R7,6684,20231013,20231017,True,True,69.2,69.2,True,True,64.6,64.6,True,True,True
R7,2465,20231013,20231020,True,True,50.1,50.1,True,True,41.4,41.4,True,True,True
R7,6237,20231018,20231026,True,True,47.05,47.05,True,True,54.1,54.1,True,True,True
R7,3041,20231026,20231027,True,True,26.5,26.5,True,True,28.0,28.0,True,True,True
R0.5,8150,20230808,20231103,True,True,37.15,37.15,True,True,41.1,41.1,True,True,True
R7,8054,20231103,20231110,True,True,57.6,57.6,True,True,57.8,57.8,True,True,True
R7,6412,20231110,20231115,True,True,138.5,138.5,True,True,143.0,143.0,True,True,True
R0.5,2607,20231114,20231116,True,True,33.1,33.1,True,True,31.35,31.35,True,True,True
R7,3228,20231110,20231206,True,True,149.0,149.0,True,True,263.0,263.0,True,True,True
R7,2605,20231206,20231214,True,True,28.15,28.15,True,True,27.75,27.75,True,True,True
R0.5,3059,20231121,20240109,True,True,39.05,39.05,True,True,36.35,36.35,True,True,True
R7,8096,20240105,20240125,True,True,18.6,18.6,True,True,26.65,26.65,True,True,True
R0.5,6163,20240111,20240126,True,True,21.55,21.55,True,True,19.55,19.55,True,True,True
R0.5,2355,20231115,20240219,True,True,38.8,38.8,True,True,52.5,52.5,True,True,True
R7,3354,20240126,20240219,True,True,24.55,24.55,True,True,24.95,24.95,True,True,True
R7,6535,20240126,20240219,True,True,129.0,129.0,True,True,153.5,153.5,True,True,True
