date,cash,reserved_cash,market_value,nav,peak_nav,drawdown,holdings
20230413,909072.0296250011,0,217000.0,1126072.0296250011,1276947.5497500002,-0.11815326334628029,1
20230414,909072.0296250011,0,220000.0,1129072.0296250011,1276947.5497500002,-0.11580391078235752,1
20230417,909072.0296250011,0,222000.0,1131072.0296250011,1276947.5497500002,-0.11423767573974242,1
20230418,909072.0296250011,0,221000.0,1130072.0296250011,1276947.5497500002,-0.11502079326104997,1
20230419,909072.0296250011,0,221000.0,1130072.0296250011,1276947.5497500002,-0.11502079326104997,1
20230420,933338.9171250011,0,193500.0,1126838.917125001,1276947.5497500002,-0.11755270030815856,1
20230421,933338.9171250011,0,196500.0,1129838.917125001,1276947.5497500002,-0.1152033477442358,1
20230424,751435.104625001,0,376500.0,1127935.104625001,1276947.5497500002,-0.11669425667027022,2
20230425,751435.104625001,0,381700.0,1133135.104625001,1276947.5497500002,-0.11262204555947086,2
20230426,751435.104625001,0,382000.0,1133435.104625001,1276947.5497500002,-0.11238711030307857,2
20230427,751435.104625001,0,383000.0,1134435.104625001,1276947.5497500002,-0.11160399278177102,2
20230428,751435.104625001,0,375800.0,1127235.104625001,1276947.5497500002,-0.11724243893518549,2
20230502,751435.104625001,0,384200.0,1135635.104625001,1276947.5497500002,-0.11066425175620187,2
20230503,962243.8671250009,0,167000.0,1129243.8671250008,1276947.5497500002,-0.1156693418252901,1
20230504,962243.8671250009,0,167200.0,1129443.8671250008,1276947.5497500002,-0.1155127183210286,1
20230505,962243.8671250009,0,165800.0,1128043.8671250008,1276947.5497500002,-0.11660908285085925,1
20230508,962243.8671250009,0,166000.0,1128243.8671250008,1276947.5497500002,-0.11645245934659765,1
20230509,962243.8671250009,0,162800.0,1125043.8671250008,1276947.5497500002,-0.1189584354147819,1
20230510,962243.8671250009,0,165600.0,1127843.8671250008,1276947.5497500002,-0.11676570635512074,1
20230511,962243.8671250009,0,149200.0,1111443.8671250008,1276947.5497500002,-0.12960883370456489,1
20230512,962243.8671250009,0,149200.0,1111443.8671250008,1276947.5497500002,-0.12960883370456489,1
20230515,962243.8671250009,0,144400.0,1106643.8671250008,1276947.5497500002,-0.13336779780684127,1
20230516,1105208.4371250009,0,0.0,1105208.4371250009,1276947.5497500002,-0.13449190819045176,0
20230517,1105208.4371250009,0,0.0,1105208.4371250009,1276947.5497500002,-0.13449190819045176,0
20230518,1105208.4371250009,0,0.0,1105208.4371250009,1276947.5497500002,-0.13449190819045176,0
20230519,691119.1996250008,0,422200.0,1113319.1996250008,1276947.5497500002,-0.12814022796553737,2
20230522,691119.1996250008,0,464300.0,1155419.1996250008,1276947.5497500002,-0.09517098031848847,2
20230523,256498.52962500072,0,907300.0,1163798.5296250007,1276947.5497500002,-0.08860898017867047,4
20230524,256498.52962500072,0,857200.0,1113698.5296250007,1276947.5497500002,-0.1278431679961799,4
20230525,256498.52962500072,0,878200.0,1134698.5296250007,1276947.5497500002,-0.11139770004872085,4
20230526,256498.52962500072,0,851050.0,1107548.5296250007,1276947.5497500002,-0.13265934075222152,4
20230529,256498.52962500072,0,880450.0,1136948.5296250007,1276947.5497500002,-0.10963568562577886,4
20230530,256498.52962500072,0,880850.0,1137348.5296250007,1276947.5497500002,-0.10932243861725577,4
20230531,256498.52962500072,0,918600.0,1175098.5296250007,1276947.5497500002,-0.07975975218789488,4
20230601,256498.52962500072,0,947850.0,1204348.5296250007,1276947.5497500002,-0.056853564689648306,4
20230602,256498.52962500072,0,989200.0,1245698.5296250007,1276947.5497500002,-0.024471655183580188,4
20230605,256498.52962500072,0,995350.0,1251848.5296250007,1276947.5497500002,-0.019655482427538562,4
20230606,1223600.0846250008,0,0.0,1223600.0846250008,1276947.5497500002,-0.041777334656731724,0
20230607,1223600.0846250008,0,0.0,1223600.0846250008,1276947.5497500002,-0.041777334656731724,0
20230608,1223600.0846250008,0,0.0,1223600.0846250008,1276947.5497500002,-0.041777334656731724,0
20230609,1223600.0846250008,0,0.0,1223600.0846250008,1276947.5497500002,-0.041777334656731724,0
20230612,1223600.0846250008,0,0.0,1223600.0846250008,1276947.5497500002,-0.041777334656731724,0
20230613,1223600.0846250008,0,0.0,1223600.0846250008,1276947.5497500002,-0.041777334656731724,0
20230614,1223600.0846250008,0,0.0,1223600.0846250008,1276947.5497500002,-0.041777334656731724,0
20230615,1223600.0846250008,0,0.0,1223600.0846250008,1276947.5497500002,-0.041777334656731724,0
20230616,1223600.0846250008,0,0.0,1223600.0846250008,1276947.5497500002,-0.041777334656731724,0
20230619,1223600.0846250008,0,0.0,1223600.0846250008,1276947.5497500002,-0.041777334656731724,0
20230620,1223600.0846250008,0,0.0,1223600.0846250008,1276947.5497500002,-0.041777334656731724,0
20230621,1223600.0846250008,0,0.0,1223600.0846250008,1276947.5497500002,-0.041777334656731724,0
20230626,772758.5496250008,0,432300.0,1205058.549625001,1276947.5497500002,-0.05629753558716932,2
20230627,772758.5496250008,0,410000.0,1182758.549625001,1276947.5497500002,-0.07376105631232821,2
20230628,772758.5496250008,0,417500.0,1190258.549625001,1276947.5497500002,-0.06788767490252146,2
20230629,956789.4071250008,0,225900.0,1182689.4071250008,1276947.5497500002,-0.07381520301554534,1
20230630,956789.4071250008,0,224100.0,1180889.4071250008,1276947.5497500002,-0.07522481455389896,1
20230703,956789.4071250008,0,231300.0,1188089.4071250008,1276947.5497500002,-0.06958636840048438,1
20230704,956789.4071250008,0,221850.0,1178639.4071250008,1276947.5497500002,-0.07698682897684095,1
20230705,462410.9746250007,0,710700.0,1173110.9746250007,1276947.5497500002,-0.08131624133295734,4
20230706,462410.9746250007,0,703350.0,1165760.9746250007,1276947.5497500002,-0.087072155114568,4
20230707,667443.1283750007,0,503100.0,1170543.1283750008,1276947.5497500002,-0.08332716672335616,3
20230710,667443.1283750007,0,494250.0,1161693.1283750008,1276947.5497500002,-0.09025775678692827,3
20230711,667443.1283750007,0,499750.0,1167193.1283750008,1276947.5497500002,-0.08595061041973662,3
20230712,425883.79087500065,0,738150.0,1164033.7908750006,1276947.5497500002,-0.08842474297171077,4
20230713,644512.0608750007,0,517000.0,1161512.0608750007,1276947.5497500002,-0.09039955391871768,3
20230714,644512.0608750007,0,535500.0,1180012.0608750007,1276947.5497500002,-0.07591187977452751,3
20230717,644512.0608750007,0,541600.0,1186112.0608750007,1276947.5497500002,-0.0711348628945514,3
20230718,644512.0608750007,0,523250.0,1167762.0608750007,1276947.5497500002,-0.08550506941054536,3
20230719,644512.0608750007,0,494200.0,1138712.0608750007,1276947.5497500002,-0.10825463340453034,3
20230720,572700.6133750007,0,567200.0,1139900.6133750007,1276947.5497500002,-0.10732385711678649,3
20230721,572700.6133750007,0,564800.0,1137500.6133750007,1276947.5497500002,-0.10920333916792457,3
20230724,572700.6133750007,0,549200.0,1121900.6133750007,1276947.5497500002,-0.12141997250032277,3
20230725,572700.6133750007,0,578200.0,1150900.6133750007,1276947.5497500002,-0.09870956438240319,3
20230726,572700.6133750007,0,543500.0,1116200.6133750007,1276947.5497500002,-0.1258837423717759,3
20230727,572700.6133750007,0,558400.0,1131100.6133750007,1276947.5497500002,-0.11421529130429309,3
20230728,572700.6133750007,0,582000.0,1154700.6133750007,1276947.5497500002,-0.09573371780143436,3
20230731,572700.6133750007,0,543400.0,1116100.6133750007,1276947.5497500002,-0.1259620541239067,3
20230801,572700.6133750007,0,528500.0,1101200.6133750007,1276947.5497500002,-0.13763050519138953,3
20230802,755089.9533750007,0,309900.0,1064989.9533750007,1276947.5497500002,-0.16598770749550085,2
20230804,755089.9533750007,0,320900.0,1075989.9533750007,1276947.5497500002,-0.15737341476111744,2
20230807,755089.9533750007,0,317900.0,1072989.9533750007,1276947.5497500002,-0.1597227673250402,2
20230808,755089.9533750007,0,286400.0,1041489.9533750007,1276947.5497500002,-0.18439096924622878,2
20230809,755089.9533750007,0,282600.0,1037689.9533750007,1276947.5497500002,-0.1873668158271976,2
20230810,755089.9533750007,0,269300.0,1024389.9533750007,1276947.5497500002,-0.1977822788605883,2
20230811,1020808.9208750008,0,0.0,1020808.9208750008,1276947.5497500002,-0.20058664815571015,0
20230814,1020808.9208750008,0,0.0,1020808.9208750008,1276947.5497500002,-0.20058664815571015,0
20230815,1020808.9208750008,0,0.0,1020808.9208750008,1276947.5497500002,-0.20058664815571015,0
20230816,1020808.9208750008,0,0.0,1020808.9208750008,1276947.5497500002,-0.20058664815571015,0
20230817,1020808.9208750008,0,0.0,1020808.9208750008,1276947.5497500002,-0.20058664815571015,0
