decision_date,execute_date,side,code,shares,limit_price,filled,reason,fill_price
20220216,20220217,SELL,6104,700,,True,R7_RANK_EXIT,239.5
20220216,20220217,BUY,1712,6000,33.800000000000004,False,LIMIT_NOT_TOUCHED,
20220216,20220217,BUY,3257,2000,76.4,False,LIMIT_NOT_TOUCHED,
20220216,20220217,BUY,2497,2000,100.5,False,LIMIT_NOT_TOUCHED,
20220217,20220218,BUY,1709,7000,31.5,True,R7_DEEP_LIMIT,31.5
20220217,20220218,BUY,2906,12000,18.5,False,LIMIT_NOT_TOUCHED,
20220217,20220218,BUY,2618,6000,34.1,True,R7_DEEP_LIMIT,34.1
20220222,20220223,SELL,1709,7000,,True,R7_RANK_EXIT,28.8
20220222,20220223,SELL,2618,6000,,True,R7_RANK_EXIT,31.85
20220222,20220223,BUY,9955,7000,25.05,False,LIMIT_NOT_TOUCHED,
20220222,20220223,BUY,6251,1000,24.900000000000002,False,LIMIT_NOT_TOUCHED,
20220223,20220224,BUY,2743,5000,36.45,False,LIMIT_NOT_TOUCHED,
20220223,20220224,BUY,3066,4000,44.45,True,R7_DEEP_LIMIT,43.400000000000006
20220223,20220224,BUY,5706,3000,58.800000000000004,True,R7_DEEP_LIMIT,58.800000000000004
20220224,20220225,SELL,3066,4000,,True,R7_REGIME_EXIT,44.1
20220224,20220225,SELL,5706,3000,,True,R7_REGIME_EXIT,64.5
20220225,20220301,BUY,2906,8000,22.85,True,R7_DEEP_LIMIT,22.85
20220225,20220301,BUY,2032,1000,26.400000000000002,False,LIMIT_NOT_TOUCHED,
20220301,20220302,BUY,2032,7000,29.0,True,R7_DEEP_LIMIT,29.0
20220301,20220302,BUY,3209,6000,34.1,False,LIMIT_NOT_TOUCHED,
20220304,20220307,SELL,2032,7000,,True,R7_RANK_EXIT,31.25
20220304,20220307,BUY,6231,300,109.5,True,R7_DEEP_LIMIT,109.5
20220307,20220308,SELL,2906,8000,,True,R7_REGIME_EXIT,22.700000000000003
20220307,20220308,SELL,6231,300,,True,R7_REGIME_EXIT,94.9
20220317,20220318,BUY,8440,3000,58.2,False,LIMIT_NOT_TOUCHED,
20220317,20220318,BUY,2545,700,47.5,False,LIMIT_NOT_TOUCHED,
20220401,20220406,BUY,5603,3000,49.650000000000006,False,LIMIT_NOT_TOUCHED,
20220401,20220406,BUY,3558,200,162.0,False,LIMIT_NOT_TOUCHED,
20220406,20220407,BUY,3558,1000,171.0,True,R7_DEEP_LIMIT,171.0
20220406,20220407,BUY,5603,4000,53.900000000000006,True,R7_DEEP_LIMIT,53.900000000000006
20220407,20220408,SELL,3558,1000,,True,R7_REGIME_EXIT,173.5
20220407,20220408,SELL,5603,4000,,True,R7_REGIME_EXIT,51.5
20220408,20220411,BUY,4133,3000,62.6,False,LIMIT_NOT_TOUCHED,
20220408,20220411,BUY,3558,1000,183.0,True,R7_DEEP_LIMIT,183.0
20220411,20220412,SELL,3558,1000,,True,R7_REGIME_EXIT,185.0
20220531,20220601,BUY,5258,4000,47.7,False,LIMIT_NOT_TOUCHED,
20220531,20220601,BUY,8097,2000,74.0,False,LIMIT_NOT_TOUCHED,
20220606,20220607,BUY,2736,9000,23.05,True,R7_DEEP_LIMIT,23.05
20220606,20220607,BUY,6609,5000,41.25,False,LIMIT_NOT_TOUCHED,
20220609,20220610,BUY,6715,1000,128.0,True,R7_DEEP_LIMIT,128.0
20220614,20220615,SELL,2736,9000,,True,R7_REGIME_EXIT,26.25
20220614,20220615,SELL,6715,1000,,True,R7_REGIME_EXIT,135.5
20220729,20220801,BUY,6220,7000,29.8,True,R7_DEEP_LIMIT,29.8
20220729,20220801,BUY,8996,2000,77.0,False,LIMIT_NOT_TOUCHED,
20220802,20220803,SELL,6220,7000,,True,R7_REGIME_EXIT,27.55
20220809,20220810,BUY,3432,10000,21.55,False,LIMIT_NOT_TOUCHED,
20220809,20220810,BUY,3710,15000,14.15,True,R7_DEEP_LIMIT,14.15
20220811,20220812,SELL,3710,15000,,True,R7_RANK_EXIT,13.700000000000001
20220811,20220812,BUY,9907,11000,19.0,False,LIMIT_NOT_TOUCHED,
20220811,20220812,BUY,3047,13000,16.25,True,R7_DEEP_LIMIT,16.25
20220829,20220830,SELL,3047,13000,,True,R7_REGIME_EXIT,17.75
20220830,20220831,BUY,6589,1000,126.5,False,LIMIT_NOT_TOUCHED,
20220830,20220831,BUY,4770,600,366.5,False,LIMIT_NOT_TOUCHED,
20221111,20221114,BUY,8033,6000,33.300000000000004,True,R7_DEEP_LIMIT,33.300000000000004
20221111,20221114,BUY,2727,1000,146.0,False,LIMIT_NOT_TOUCHED,
20221122,20221123,SELL,8033,6000,,True,R7_RANK_EXIT,42.800000000000004
20221122,20221123,BUY,3217,2000,85.2,False,LIMIT_NOT_TOUCHED,
20221122,20221123,BUY,6245,400,85.7,True,R7_DEEP_LIMIT,85.7
20221128,20221129,SELL,6245,400,,True,R7_RANK_EXIT,86.5
20221128,20221129,BUY,1810,9000,21.150000000000002,False,LIMIT_NOT_TOUCHED,
20221128,20221129,BUY,8222,1000,29.3,False,LIMIT_NOT_TOUCHED,
20221129,20221130,BUY,1417,15000,15.600000000000001,True,R7_DEEP_LIMIT,15.600000000000001
20221129,20221130,BUY,8222,7000,32.15,True,R7_DEEP_LIMIT,32.15
20221129,20221130,BUY,1584,9000,25.05,True,R7_DEEP_LIMIT,25.05
20221129,20221130,BUY,3444,3000,75.4,True,R7_DEEP_LIMIT,75.4
20221206,20221207,SELL,1417,15000,,True,R7_RANK_EXIT,14.100000000000001
20221206,20221207,SELL,8222,7000,,True,R7_RANK_EXIT,31.3
20221206,20221207,SELL,1584,9000,,True,R7_RANK_EXIT,23.5
20221206,20221207,SELL,3444,3000,,True,R7_RANK_EXIT,74.7
20221206,20221207,BUY,4137,900,197.5,True,R7_DEEP_LIMIT,197.5
20221206,20221207,BUY,8436,200,172.5,True,R7_DEEP_LIMIT,172.5
20221208,20221209,SELL,8436,200,,True,R7_RANK_EXIT,164.5
20221208,20221209,BUY,4114,5000,45.45,False,LIMIT_NOT_TOUCHED,
20221209,20221212,SELL,4137,900,,True,R7_RANK_EXIT,197.5
20221209,20221212,BUY,4114,4000,47.5,False,LIMIT_NOT_TOUCHED,
20221209,20221212,BUY,2748,3000,69.0,True,R7_DEEP_LIMIT,60.6
20221209,20221212,BUY,5284,3000,66.2,True,R7_DEEP_LIMIT,66.2
20221209,20221212,BUY,3693,2000,92.5,False,LIMIT_NOT_TOUCHED,
