date,nav,cash,market_value,positions,peak,drawdown
20230427,2441155.514561501,2441155.514561501,0.0,0,2455041.3545615007,-0.005656051363126635
20230428,2441155.514561501,2441155.514561501,0.0,0,2455041.3545615007,-0.005656051363126635
20230502,2441155.514561501,2441155.514561501,0.0,0,2455041.3545615007,-0.005656051363126635
20230503,2455654.245561501,1912904.245561501,542750.0,1,2455654.245561501,0.0
20230504,2456304.245561501,1912904.245561501,543400.0,1,2456304.245561501,0.0
20230505,2451754.245561501,1912904.245561501,538850.0,1,2456304.245561501,-0.0018523763936091342
20230508,2452404.245561501,1912904.245561501,539500.0,1,2456304.245561501,-0.0015877511945221467
20230509,2442004.245561501,1912904.245561501,529100.0,1,2456304.245561501,-0.00582175437991439
20230510,2451104.245561501,1912904.245561501,538200.0,1,2456304.245561501,-0.0021170015926961216
20230511,2397804.245561501,1912904.245561501,484899.99999999994,1,2456304.245561501,-0.023816267917831646
20230512,2397804.245561501,1912904.245561501,484899.99999999994,1,2456304.245561501,-0.023816267917831646
20230515,2382204.245561501,1912904.245561501,469300.0,1,2456304.245561501,-0.03016727269592001
20230516,2400404.245561501,1912904.245561501,487500.0,1,2456304.245561501,-0.022757767121483585
20230517,2404954.245561501,1912904.245561501,492050.0,1,2456304.245561501,-0.02090539072787445
20230518,2412754.245561501,1912904.245561501,499850.00000000006,1,2456304.245561501,-0.017729888338830158
20230519,2454006.8773115007,1727506.877311501,726500.0,2,2456304.245561501,-0.0009352946623577552
20230522,2511238.525811501,1237788.5258115008,1273450.0,3,2511238.525811501,0.0
20230523,2627594.605811501,132844.60581150092,2494750.0,5,2627594.605811501,0.0
20230524,2520794.605811501,132844.60581150092,2387950.0,5,2627594.605811501,-0.040645539370414485
20230525,2574294.605811501,132844.60581150092,2441450.0,5,2627594.605811501,-0.020284712064073895
20230526,2517994.605811501,132844.60581150092,2385150.0,5,2627594.605811501,-0.04171115276214821
20230529,2578794.605811501,132844.60581150092,2445950.0,5,2627594.605811501,-0.018572119113073216
20230530,2584444.605811501,132844.60581150092,2451600.0,5,2627594.605811501,-0.01642186351903918
20230531,2680294.605811501,132844.60581150092,2547450.0,5,2680294.605811501,0.0
20230601,2751994.605811501,132844.60581150092,2619150.0,5,2751994.605811501,0.0
20230602,2852194.605811501,132844.60581150092,2719350.0,5,2852194.605811501,0.0
20230605,2875344.605811501,132844.60581150092,2742500.0,5,2875344.605811501,0.0
20230606,2880144.605811501,132844.60581150092,2747300.0,5,2880144.605811501,0.0
20230607,3047594.605811501,132844.60581150092,2914750.0,5,3047594.605811501,0.0
20230608,3185244.605811501,132844.60581150092,3052400.0,5,3185244.605811501,0.0
20230609,3120344.605811501,132844.60581150092,2987500.0,5,3185244.605811501,-0.020375201289593137
20230612,2950694.605811501,132844.60581150092,2817850.0,5,3185244.605811501,-0.07363641698727375
