date,cash,market_value,nav,peak_nav,drawdown,holdings,exposure
20230427,1155883.8349540003,556800.0,1712683.8349540003,1995392.189564,-0.1416805959693429,4,0.32510378660458056
20230428,1295742.5929540002,415200.0,1710942.5929540002,1995392.189564,-0.14255322742951748,3,0.24267325023637595
20230502,1295742.5929540002,422000.0,1717742.5929540002,1995392.189564,-0.13914537606297184,3,0.24567126747104
20230503,1443072.4384540003,269200.0,1712272.4384540003,1995392.189564,-0.14188676922297783,2,0.1572179718334186
20230504,1443072.4384540003,270800.0,1713872.4384540003,1995392.189564,-0.14108492184261412,2,0.15800475806955347
20230505,1443072.4384540003,270000.0,1713072.4384540003,1995392.189564,-0.14148584553279597,2,0.1576115486649633
20230508,1443072.4384540003,270800.0,1713872.4384540003,1995392.189564,-0.14108492184261412,2,0.15800475806955347
20230509,1443072.4384540003,268400.0,1711472.4384540003,1995392.189564,-0.14228769291315957,2,0.1568240270596761
20230510,1564602.1284540002,142800.0,1707402.1284540002,1995392.189564,-0.14432754754488963,1,0.08363583342214817
20230511,1564602.1284540002,140000.0,1704602.1284540002,1995392.189564,-0.145730780460526,1,0.08213060259814053
20230512,1564602.1284540002,148400.0,1713002.1284540002,1995392.189564,-0.14152108171361688,1,0.08663153275468043
20230515,1564602.1284540002,154000.0,1718602.1284540002,1995392.189564,-0.13871461588234402,1,0.08960770934138985
20230516,1564602.1284540002,152400.0,1717002.1284540002,1995392.189564,-0.13951646326270772,1,0.08875935415247385
20230517,1564602.1284540002,151200.0,1715802.1284540002,1995392.189564,-0.1401178487979804,1,0.0881220494441493
20230518,1564602.1284540002,153600.0,1718202.1284540002,1995392.189564,-0.13891507772743494,1,0.08939576866791908
20230519,1324396.9284540003,405200.0,1729596.9284540003,1995392.189564,-0.13320452114633008,3,0.23427423657729776
20230522,1193535.1372040003,563000.0,1756535.1372040003,1995392.189564,-0.11970431357265698,4,0.3205173571968315
20230523,1025936.8912040002,740700.0,1766636.8912040002,1995392.189564,-0.11464177295892064,5,0.41927121735536577
20230524,1025936.8912040002,717100.0,1743036.8912040002,1995392.189564,-0.12646902181928465,5,0.4114083893569597
20230525,1025936.8912040002,718250.0,1744186.8912040002,1995392.189564,-0.1258926940146483,5,0.4117964672376347
20230526,1025936.8912040002,710100.0,1736036.8912040002,1995392.189564,-0.1299771041083757,5,0.40903508652256904
20230529,1025936.8912040002,728200.0,1754136.8912040002,1995392.189564,-0.1209062056180118,5,0.41513293725906414
20230530,1025936.8912040002,734900.0,1760836.8912040002,1995392.189564,-0.11754846971273891,5,0.41735836162400053
20230531,1025936.8912040002,758600.0,1784536.8912040002,1995392.189564,-0.10567110539110225,5,0.4250962833770189
20230601,1025936.8912040002,780850.0,1806786.8912040002,1995392.189564,-0.0945204152579201,5,0.4321760379164916
20230602,1025936.8912040002,811200.0,1837136.8912040002,1995392.189564,-0.07931037276164687,5,0.44155664386466364
20230605,1025936.8912040002,813350.0,1839286.8912040002,1995392.189564,-0.07823289034428327,5,0.442209425777824
20230606,1229083.6799540003,611150.0,1840233.6799540003,1995392.189564,-0.0777584027949424,3,0.3321045618593812
20230607,934431.9679540002,914900.0,1849331.9679540002,1995392.189564,-0.07319875379582108,4,0.49471918284752053
20230608,934431.9679540002,907800.0,1842231.9679540002,1995392.189564,-0.07675695154618489,4,0.4927718201569431
20230609,934431.9679540002,945700.0,1880131.9679540002,1995392.189564,-0.05776319172382072,4,0.5029966066845462
20230612,934431.9679540002,939200.0,1873631.9679540002,1995392.189564,-0.06102069670654808,4,0.5012724035796652
20230613,934431.9679540002,933100.0,1867531.9679540002,1995392.189564,-0.06407773984418452,4,0.49964338817839365
20230614,934431.9679540002,933050.0,1867481.9679540002,1995392.189564,-0.06410279757482085,4,0.49962999162034366
20230615,934431.9679540002,969650.0,1904081.9679540002,1995392.189564,-0.0457605387490021,4,0.5092480346536349
20230616,934431.9679540002,953200.0,1887631.9679540002,1995392.189564,-0.05400453212836598,4,0.5049713165396172
20230619,934431.9679540002,901300.0,1835731.9679540002,1995392.189564,-0.08001445652891226,4,0.4909758154969303
20230620,934431.9679540002,906900.0,1841331.9679540002,1995392.189564,-0.0772079906976394,4,0.49252389888592646
20230621,934431.9679540002,965200.0,1899631.9679540002,1995392.189564,-0.04799067677563862,4,0.5080984192109429
20230626,912287.8399540002,997850.0,1910137.8399540002,1995392.189564,-0.0427256105621161,4,0.522396854890865
20230627,912287.8399540002,948600.0,1860887.8399540002,1995392.189564,-0.06740747523893509,4,0.5097566761591869
20230628,774995.0099540001,1089000.0,1863995.0099540001,1995392.189564,-0.06585030266090719,4,0.5842290318292614
20230629,821345.1579540002,1051850.0,1873195.1579540002,1995392.189564,-0.06123960605293344,4,0.561527182863789
