strategy,order_date,code,limit,open,low,expected,actual,expected_fill,actual_fill,status_match,fill_match,match,reason
R7,20221207,8436,172.5,177.5,165.0,FILLED,FILLED,172.5,172.5,True,True,True,
R7,20221209,4114,45.45,46.8,46.1,MISSED,MISSED,,,True,True,True,
R7,20221212,4114,47.5,48.6,47.6,MISSED,MISSED,,,True,True,True,
R7,20221212,3027,34.1,34.65,33.6,FILLED,FILLED,34.1,34.1,True,True,True,
R7,20221214,1752,52.800000000000004,54.5,50.4,FILLED,FILLED,52.8,52.800000000000004,True,True,True,
R7,20221221,6111,60.400000000000006,62.5,60.5,MISSED,MISSED,,,True,True,True,
R7,20221223,1752,58.0,59.6,59.6,MISSED,MISSED,,,True,True,True,
R7,20221223,1701,30.25,31.2,31.2,MISSED,MISSED,,,True,True,True,
R7,20221226,2612,44.550000000000004,45.5,40.95,FILLED,FILLED,44.55,44.550000000000004,True,True,True,
R7,20221226,1752,61.800000000000004,66.0,65.3,MISSED,MISSED,,,True,True,True,
R7,20221228,3479,84.0,86.6,81.8,FILLED,FILLED,84.0,84.0,True,True,True,
R7,20221229,1305,26.55,26.7,26.5,FILLED,FILLED,26.55,26.55,True,True,True,
R7,20230109,8044,63.7,64.9,62.9,FILLED,FILLED,63.7,63.7,True,True,True,
R7,20230110,2230,39.1,39.5,39.4,MISSED,MISSED,,,True,True,True,
R7,20230210,6235,48.75,49.5,47.85,FILLED,FILLED,48.75,48.75,True,True,True,
R7,20230302,4967,54.5,55.4,54.8,MISSED,MISSED,,,True,True,True,
R7,20230303,4967,56.2,56.9,56.2,MISSED,FILLED,,56.2,False,True,False,
R7,20230303,2739,58.7,65.0,60.9,MISSED,MISSED,,,True,True,True,
R7,20230307,4967,57.800000000000004,59.3,58.1,MISSED,MISSED,,,True,True,True,
R7,20230307,2739,61.2,64.0,63.6,MISSED,MISSED,,,True,True,True,
R7,20230308,3362,112.0,116.0,110.0,FILLED,FILLED,112.0,112.0,True,True,True,
R7,20230308,2739,63.2,63.5,62.5,FILLED,FILLED,63.2,63.2,True,True,True,
R7,20230313,3093,41.1,41.0,40.1,FILLED,FILLED,41.1,41.0,True,False,False,
R7,20230313,3046,70.3,76.2,70.9,MISSED,MISSED,,,True,True,True,
R7,20230313,5009,49.0,49.6,48.1,FILLED,FILLED,49.0,49.0,True,True,True,
R7,20230327,6160,27.55,28.55,27.35,FILLED,FILLED,27.55,27.55,True,True,True,
R7,20230327,5353,43.6,43.15,42.7,FILLED,FILLED,43.4,43.15,True,False,False,
R7,20230327,6733,33.300000000000004,34.55,33.05,FILLED,FILLED,33.3,33.300000000000004,True,True,True,
R7,20230410,6485,104.5,105.5,104.5,FILLED,FILLED,104.5,104.5,True,True,True,
R7,20230410,6829,106.5,115.0,111.5,MISSED,MISSED,,,True,True,True,
R7,20230411,6829,112.0,112.5,110.5,FILLED,FILLED,112.0,112.0,True,True,True,
R7,20230411,3032,44.800000000000004,46.5,45.7,MISSED,MISSED,,,True,True,True,
R7,20230411,3324,240.0,244.0,242.0,MISSED,MISSED,,,True,True,True,
R7,20230420,4728,229.5,245.0,242.0,MISSED,MISSED,,,True,True,True,
R7,20230420,3058,21.8,24.0,23.55,MISSED,MISSED,,,True,True,True,
R7,20230420,6625,63.900000000000006,65.3,64.3,MISSED,MISSED,,,True,True,True,
R7,20230503,1727,40.6,41.0,40.6,FILLED,FILLED,40.6,40.6,True,True,True,
R7,20230503,4121,33.9,34.8,34.2,MISSED,MISSED,,,True,True,True,
R7,20230519,2743,105.0,103.0,103.0,FILLED,FILLED,104.0,103.0,True,False,False,
R7,20230519,2427,20.200000000000003,22.2,22.05,MISSED,MISSED,,,True,True,True,
R7,20230519,3617,170.5,172.5,170.0,FILLED,FILLED,170.5,170.5,True,True,True,
R7,20230523,2427,24.0,24.65,23.8,FILLED,FILLED,24.0,24.0,True,True,True,
R7,20230523,2745,69.0,71.0,68.8,FILLED,FILLED,69.0,69.0,True,True,True,
R7,20230626,1471,12.65,13.55,13.45,MISSED,MISSED,,,True,True,True,
R7,20230626,5426,16.8,16.95,15.65,FILLED,FILLED,16.8,16.8,True,True,True,
R7,20230626,2468,43.0,43.9,42.5,FILLED,FILLED,43.0,43.0,True,True,True,
R7,20230705,2230,126.0,128.0,116.5,FILLED,FILLED,126.0,126.0,True,True,True,
R7,20230705,2419,37.95,38.6,37.0,FILLED,FILLED,37.95,37.95,True,True,True,
R7,20230707,6117,24.5,25.3,24.2,FILLED,FILLED,24.5,24.5,True,True,True,
R7,20230707,3013,43.35,43.0,42.55,FILLED,FILLED,43.25,43.0,True,False,False,
R7,20230712,5234,142.5,146.5,139.5,FILLED,FILLED,142.5,142.5,True,True,True,
R7,20230712,1618,24.5,25.55,23.6,FILLED,FILLED,24.5,24.5,True,True,True,
R7,20230804,9927,63.300000000000004,58.2,58.2,FILLED,FILLED,58.2,58.2,True,True,True,
R7,20230804,2913,29.8,30.5,29.2,FILLED,FILLED,29.8,29.8,True,True,True,
