date,code,market,event_type,official_prev_close,reference_price,cash_dividend_per_share,stock_shares_per_1000,continuity_bridge,source
20200714,1256,TWSE,息,213.5,207.3,6.199999999999989,0.0,1.02990834539315,TWSE_TWT49U
20200714,1515,TWSE,息,80.9,77.9,3.0,0.0,1.0385109114249038,TWSE_TWT49U
20200714,2207,TWSE,息,748.0,734.0,14.0,0.0,1.0190735694822888,TWSE_TWT49U
20200714,2462,TWSE,息,26.55,25.85,0.6999999999999993,0.0,1.0270793036750483,TWSE_TWT49U
20200714,2477,TWSE,息,23.4,21.8,1.5999999999999979,0.0,1.073394495412844,TWSE_TWT49U
20200714,2726,TPEX,除權,69.0,65.7,0.0,50.16338164,1.0502283105022832,TPEX_exDailyQ
20200714,2816,TWSE,息,20.05,19.17,0.879999999999999,0.0,1.045905059989567,TWSE_TWT49U
20200714,2889,TWSE,息,12.2,11.54,0.6600000000000001,0.0,1.0571923743500866,TWSE_TWT49U
20200714,2908,TWSE,息,22.0,21.29,0.7100000000000009,0.0,1.0333489901362143,TWSE_TWT49U
20200714,3169,TPEX,除息,38.35,36.25,2.1,0.0,1.0579310344827586,TPEX_exDailyQ
20200714,3450,TWSE,息,78.6,77.6,1.0,0.0,1.0128865979381443,TWSE_TWT49U
20200714,3645,TWSE,息,39.8,39.3,0.5,0.0,1.0127226463104326,TWSE_TWT49U
20200714,3706,TWSE,權息,34.2,29.64,4.560000000000002,0.0,1.153846153846154,TWSE_TWT49U
20200714,4116,TPEX,除息,37.75,36.4,1.35,0.0,1.0370879120879122,TPEX_exDailyQ
20200714,4904,TWSE,息,69.0,65.75,3.25,0.0,1.049429657794677,TWSE_TWT49U
20200714,5102,TPEX,除息,15.5,14.9,0.6,0.0,1.0402684563758389,TPEX_exDailyQ
20200714,5227,TPEX,除權,17.45,16.35,0.0,0.0,1.0672782874617737,TPEX_exDailyQ
20200714,5511,TPEX,除息,31.2,29.0,2.2,0.0,1.0758620689655172,TPEX_exDailyQ
20200714,6161,TPEX,除息,19.2,18.3,0.9,0.0,1.0491803278688523,TPEX_exDailyQ
20200714,6166,TWSE,息,85.2,83.6,1.6000000000000085,0.0,1.0191387559808613,TWSE_TWT49U
20200714,6173,TPEX,除息,55.1,53.3,1.8,0.0,1.0337711069418387,TPEX_exDailyQ
20200714,6222,TPEX,除權,12.95,12.51,0.0,0.0,1.035171862509992,TPEX_exDailyQ
20200714,6451,TWSE,息,128.5,124.83,3.6700000000000017,0.0,1.0293999839782104,TWSE_TWT49U
20200714,6456,TWSE,息,117.5,114.0,3.5,0.0,1.030701754385965,TWSE_TWT49U
20200714,6530,TPEX,除息,22.95,21.95,1.0,0.0,1.0455580865603644,TPEX_exDailyQ
20200714,6596,TPEX,除權,49.65,49.31,0.0,0.0,1.0068951531129589,TPEX_exDailyQ
20200714,8477,TPEX,除息,45.8,44.43,1.37,0.0,1.030835021381949,TPEX_exDailyQ
20200714,9802,TWSE,息,106.5,100.98,5.519999999999996,0.0,1.0546642899584076,TWSE_TWT49U
