date,code,market,event_type,official_prev_close,reference_price,cash_dividend_per_share,stock_shares_per_1000,continuity_bridge,source
20260819,6574,TPEX,EX_DIVIDEND,126.0,123.0,3.0,0.0,0.9761904761904762,TPEX:exright
20260819,8043,TPEX,EX_DIVIDEND,138.5,137.6,0.9,0.0,0.9935018050541515,TPEX:exright
20260820,1597,TWSE,EX_DIVIDEND,135.0,134.3,0.6999999999999886,,0.9948148148148149,TWSE:exright
20260820,1714,TWSE,EX_DIVIDEND,16.75,16.57,0.17999999999999972,,0.9892537313432836,TWSE:exright
20260820,2377,TWSE,EX_DIVIDEND,146.5,142.3,4.199999999999989,,0.9713310580204779,TWSE:exright
20260820,2472,TWSE,EX_DIVIDEND,234.0,230.5,3.5,,0.9850427350427351,TWSE:exright
20260820,2505,TWSE,EX_DIVIDEND,18.2,17.2,1.0,,0.945054945054945,TWSE:exright
20260820,2539,TWSE,EX_RIGHT_DIVIDEND,41.25,33.31,,,0.8075151515151515,TWSE:exright
20260820,4441,TWSE,EX_DIVIDEND,196.5,185.7,10.800000000000011,,0.9450381679389313,TWSE:exright
20260820,4764,TWSE,EX_RIGHT,203.0,200.77,,,0.9890147783251232,TWSE:exright
20260820,4908,TPEX,EX_DIVIDEND,152.5,151.5,1.0,0.0,0.9934426229508196,TPEX:exright
20260820,4966,TPEX,EX_DIVIDEND,582.0,573.12,8.8817731,0.0,0.9847422680412371,TPEX:exright
20260820,5206,TPEX,EX_RIGHT,23.0,22.69,0.0,0.0,0.9865217391304348,TPEX:exright
20260820,5222,TWSE,EX_RIGHT,117.5,106.82,,,0.9091063829787234,TWSE:exright
20260820,6177,TWSE,EX_DIVIDEND,48.4,45.4,3.0,,0.9380165289256198,TWSE:exright
20260820,6666,TWSE,EX_DIVIDEND,43.5,41.5,2.0,,0.9540229885057471,TWSE:exright
20260820,6691,TWSE,EX_RIGHT_DIVIDEND,706.0,622.72,,,0.8820396600566572,TWSE:exright
20260820,6805,TWSE,EX_DIVIDEND,1800.0,1787.5,12.5,,0.9930555555555556,TWSE:exright
20260820,8077,TPEX,EX_DIVIDEND,44.9,42.9,2.0,0.0,0.955456570155902,TPEX:exright
20260821,2066,TPEX,EX_DIVIDEND,58.0,55.85,2.15,0.0,0.9629310344827586,TPEX:exright
20260821,2458,TWSE,EX_DIVIDEND,146.0,141.57,4.430000000000007,,0.9696575342465753,TWSE:exright
20260821,3147,TPEX,EX_DIVIDEND,224.0,217.5,6.5,0.0,0.9709821428571429,TPEX:exright
20260821,4430,TPEX,EX_DIVIDEND,19.0,18.5,0.5,0.0,0.9736842105263158,TPEX:exright
20260821,7547,TPEX,EX_DIVIDEND,54.4,52.62,1.77800547,0.0,0.9672794117647059,TPEX:exright
20260824,1454,TWSE,EX_DIVIDEND,12.4,12.3,0.09999999999999964,,0.9919354838709677,TWSE:exright
20260824,1737,TWSE,EX_DIVIDEND,32.5,31.1,1.3999999999999986,,0.956923076923077,TWSE:exright
20260824,2070,TPEX,EX_DIVIDEND,68.8,68.3,0.5,0.0,0.9927325581395349,TPEX:exright
20260824,2413,TWSE,EX_DIVIDEND,43.8,43.3,0.5,,0.9885844748858448,TWSE:exright
20260824,2468,TWSE,EX_DIVIDEND,35.05,34.05,1.0,,0.9714693295292439,TWSE:exright
20260824,2484,TWSE,EX_DIVIDEND,76.5,75.8,0.7000000000000028,,0.9908496732026143,TWSE:exright
20260824,2527,TWSE,EX_DIVIDEND,44.4,42.9,1.5,,0.9662162162162162,TWSE:exright
20260824,3434,TPEX,EX_DIVIDEND,31.1,29.9,1.2,0.0,0.9614147909967845,TPEX:exright
20260824,3646,TPEX,EX_DIVIDEND,23.95,23.05,0.9,0.0,0.9624217118997913,TPEX:exright
20260824,4746,TWSE,EX_DIVIDEND,53.9,50.9,3.0,,0.9443413729128015,TWSE:exright
20260824,6176,TWSE,REDUCTION:退還股款,81.3,105.06,,,1.2922509225092251,TWSE:reduction
20260824,6968,TPEX,EX_RIGHT_DIVIDEND,44.0,41.86,1.3,19.99998665,0.9513636363636363,TPEX:exright
20260824,7805,TPEX,EX_RIGHT_DIVIDEND,678.0,533.33,38.0,200.00002415,0.7866224188790562,TPEX:exright
20260824,9958,TWSE,EX_RIGHT,102.0,100.57,,,0.9859803921568627,TWSE:exright
20260825,1722,TWSE,EX_DIVIDEND,46.2,44.2,2.0,,0.9567099567099567,TWSE:exright
20260825,2012,TWSE,EX_DIVIDEND,14.95,14.65,0.29999999999999893,,0.9799331103678931,TWSE:exright
20260825,2201,TWSE,EX_DIVIDEND,29.1,28.54,0.5600000000000023,,0.9807560137457044,TWSE:exright
20260825,2729,TPEX,EX_DIVIDEND,162.5,155.57,6.93003843,0.0,0.9573538461538461,TPEX:exright
20260825,3317,TPEX,EX_DIVIDEND,65.0,64.5,0.5,0.0,0.9923076923076923,TPEX:exright
20260825,3594,TPEX,EX_DIVIDEND,51.1,50.7,0.39763206,0.0,0.9921722113502935,TPEX:exright
