,short_layer,swing_layer,large_layer,combined_three_layer,0050_BH
2021-09-15,992813.0201974999,855088.9653229996,1118543.5808419231,828839.8753151501,1148844.5065000001
2021-09-16,992813.0201974999,855088.9653229996,1113053.5808419231,831949.5796676502,1143579.5065000001
2021-09-17,992813.0201974999,855088.9653229996,1107473.5808419231,822110.2862426501,1146819.5065000001
2021-09-22,992813.0201974999,855088.9653229996,1088843.5808419231,815210.2862426501,1120089.5065000001
2021-09-23,992813.0201974999,855088.9653229996,1094483.5808419231,817910.2862426501,1126569.5065000001
2021-09-24,990846.9787974998,855088.9653229996,1101413.5808419231,819830.2862426501,1139934.5065000001
2021-09-27,964637.2049974998,855088.9653229996,1098833.5808419231,820070.2862426501,1142769.5065000001
2021-09-28,957739.8197974998,855088.9653229996,1100663.5808419231,820360.2862426501,1134669.5065000001
2021-09-29,957739.8197974998,857352.7710729996,1109273.5808419231,817190.2862426501,1110369.5065000001
2021-09-30,957739.8197974998,855422.7264979996,1107383.5808419231,817810.2862426501,1118874.5065000001
2021-10-01,957739.8197974998,849951.3477779996,1103783.5808419231,811950.2862426501,1093764.5065000001
2021-10-04,957739.8197974998,836118.3414404996,1099433.5808419231,809670.2862426501,1087284.5065000001
2021-10-05,957739.8197974998,834658.1514404996,1102223.5808419231,814140.2862426501,1085664.5065000001
2021-10-06,957739.8197974998,834658.1514404996,1090073.5808419231,812460.2862426501,1086069.5065000001
2021-10-07,957739.8197974998,834658.1514404996,1097933.5808419231,817070.2862426501,1105104.5065000001
2021-10-08,957739.8197974998,834658.1514404996,1102643.5808419231,814560.2862426501,1095789.5065000001
2021-10-12,957739.8197974998,834658.1514404996,1093403.5808419231,811280.2862426501,1084854.5065000001
2021-10-13,957739.8197974998,834658.1514404996,1099253.5808419231,811490.2862426501,1081209.5065000001
2021-10-14,957739.8197974998,834658.1514404996,1092743.5808419231,810950.2862426501,1084044.5065000001
2021-10-15,957739.8197974998,834658.1514404996,1096463.5808419231,815710.2862426501,1112394.5065000001
2021-10-18,951036.8536499998,834658.1514404996,1089053.5808419231,824770.2862426501,1109154.5065000001
2021-10-19,949566.8536499998,834658.1514404996,1092623.5808419231,827580.2862426501,1118064.5065000001
2021-10-20,946355.7964299999,835630.6308404995,1103513.5808419231,836280.2862426501,1115229.5065000001
2021-10-21,946355.7964299999,835630.6308404995,1119833.5808419231,846330.2862426501,1111179.5065000001
