,v3_original_large_layer,v3_original_combined_three_layer,pullback_stable_base_large_layer,pullback_stable_base_combined_three_layer,0050_BH
2025-05-23,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1473654.5065000001
2025-05-26,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1472034.5065000001
2025-05-27,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1459074.5065000001
2025-05-28,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1461504.5065000001
2025-05-29,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1464744.5065000001
2025-06-02,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1433559.5065000001
2025-06-03,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1443684.5065000001
2025-06-04,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1477299.5065000001
2025-06-05,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1480134.5065000001
2025-06-06,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1482564.5065000001
2025-06-09,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1496739.5065000001
2025-06-10,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1536834.5065000001
2025-06-18,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1550037.5065000001
2025-06-19,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1534809.5065000001
2025-06-20,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1532541.5065000001
2025-06-23,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1519905.5065000001
2025-06-24,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1547445.5065000001
2025-06-25,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1569801.5065000001
2025-06-26,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1571745.5065000001
2025-06-27,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1573365.5065000001
2025-06-30,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1575633.5065000001
2025-07-01,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1584705.5065000001
2025-07-02,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1585029.5065000001
2025-07-03,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1606737.5065000001
2025-07-04,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1591833.5065000001
2025-07-07,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1582437.5065000001
2025-07-08,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1575309.5065000001
2025-07-09,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1591509.5065000001
2025-07-10,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1609653.5065000001
2025-07-11,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1616457.5065000001
2025-07-14,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1607061.5065000001
2025-07-15,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1628769.5065000001
2025-07-16,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1641729.5065000001
2025-07-17,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1651449.5065000001
2025-07-18,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1675749.5065000001
2025-07-21,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1657929.5065000001
2025-07-22,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1646589.5065000001
2025-07-23,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1651449.5065000001
2025-07-24,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1661169.5065000001
2025-07-25,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1657929.5065000001
2025-07-28,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1662789.5065000001
2025-07-29,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1643349.5065000001
2025-07-30,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1661169.5065000001
2025-07-31,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1678989.5065000001
2025-08-01,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1664409.5065000001
2025-08-04,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1654689.5065000001
2025-08-05,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1675749.5065000001
2025-08-06,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1661169.5065000001
2025-08-07,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1708149.5065000001
