,short_layer,swing_layer,large_layer,combined_three_layer,0050_BH
2021-08-10,997308.8222500002,793215.1691999995,1023511.3352499999,788492.4648750001,1123734.5065000001
2021-08-11,997308.8222500002,791566.0969499996,1016013.67475,782450.8316250001,1120089.5065000001
2021-08-12,997308.8222500002,791566.0969499996,1016193.67475,779655.8178750001,1118064.5065000001
2021-08-13,997308.8222500002,791566.0969499996,1014693.67475,779655.8178750001,1107534.5065000001
2021-08-16,997308.8222500002,791566.0969499996,1013253.67475,779655.8178750001,1105104.5065000001
2021-08-17,997308.8222500002,791566.0969499996,1012176.70325,779655.8178750001,1097004.5065000001
2021-08-18,997308.8222500002,791566.0969499996,1012176.70325,779655.8178750001,1101459.5065000001
2021-08-19,997308.8222500002,791566.0969499996,1012176.70325,779655.8178750001,1076349.5065000001
2021-08-20,997308.8222500002,791566.0969499996,1012176.70325,779655.8178750001,1067844.5065000001
2021-08-23,997308.8222500002,791566.0969499996,1012176.70325,779655.8178750001,1097004.5065000001
2021-08-24,997308.8222500002,791566.0969499996,1012176.70325,779655.8178750001,1100244.5065000001
2021-08-25,997308.8222500002,790719.1231999996,1012176.70325,778808.8441250001,1110774.5065000001
2021-08-26,997308.8222500002,788838.3981999996,1012176.70325,776928.1191250001,1118469.5065000001
2021-08-27,997308.8222500002,788838.3981999996,1012176.70325,771754.679125,1127784.5065000001
2021-08-30,997308.8222500002,788838.3981999996,1012176.70325,772114.679125,1138719.5065000001
2021-08-31,1000296.4796250002,788838.3981999996,1012176.70325,774541.5307499999,1145604.5065000001
2021-09-01,989786.5346250002,788838.3981999996,1012176.70325,762822.4345,1150869.5065000001
2021-09-02,964851.8552500001,788838.3981999996,1012176.70325,754340.6551249999,1141959.5065000001
2021-09-03,963254.6061250002,788838.3981999996,1012176.70325,753670.2048749999,1158159.5065000001
2021-09-06,969473.8471250001,788838.3981999996,1012176.70325,753670.2048749999,1163424.5065000001
2021-09-07,957513.8471250001,788838.3981999996,1012176.70325,753670.2048749999,1158159.5065000001
2021-09-08,943150.963125,788838.3981999996,1012176.70325,753670.2048749999,1148034.5065000001
2021-09-09,943150.963125,788838.3981999996,1012176.70325,753670.2048749999,1145199.5065000001
2021-09-10,943150.963125,788838.3981999996,1012176.70325,753670.2048749999,1158564.5065000001
2021-09-13,943150.963125,788838.3981999996,1012176.70325,753670.2048749999,1154514.5065000001
2021-09-14,943150.963125,788838.3981999996,1009152.3392500001,752510.2744999999,1155729.5065000001
2021-09-15,943150.963125,788229.4888249995,1008872.3392500001,751777.362,1148844.5065000001
2021-09-16,943150.963125,787058.3476999995,1021602.3392500001,755586.1984999999,1143579.5065000001
2021-09-17,943150.963125,783903.7776999995,1012722.3392500001,749011.6285,1146819.5065000001
2021-09-22,943150.963125,782545.3631999996,997852.3392500001,742614.7121250001,1120089.5065000001
2021-09-23,943150.963125,774616.8485749995,1003042.3392500001,739724.1202500002,1126569.5065000001
2021-09-24,941549.673125,774616.8485749995,1010812.3392500001,742679.1202500002,1139934.5065000001
2021-09-27,922552.301875,774616.8485749995,1021242.3392500001,746674.1202500002,1142769.5065000001
2021-09-28,924028.4868750001,774616.8485749995,1025102.3392500001,748164.1202500002,1134669.5065000001
2021-09-29,921728.4868750001,774616.8485749995,1018242.3392500001,745474.1202500002,1110369.5065000001
2021-09-30,916259.4243750001,774616.8485749995,1016732.3392500001,744909.1202500002,1118874.5065000001
2021-10-01,896985.529375,774616.8485749995,1008502.3392500001,741689.1202500002,1093764.5065000001
