,short_layer,swing_layer,large_layer,combined_three_layer,0050_BH
2022-05-24,875597.6245906249,697788.566145375,1217538.2296670831,722919.6716102645,1009119.5065
2022-05-25,875597.6245906249,698052.364732875,1218328.2296670831,723209.3954227644,1016814.5065
2022-05-26,875597.6245906249,697716.772545375,1217933.2296670831,722961.9391727643,1004259.5065
2022-05-27,875597.6245906249,698066.772545375,1217538.2296670831,723356.9391727643,1025319.5065
2022-05-30,875597.6245906249,697973.7055078751,1215958.2296670831,723291.5611477643,1050024.5065000001
2022-05-31,875597.6245906249,697911.0668078751,1211218.2296670831,723303.7887677643,1060149.5065000001
2022-06-01,875597.6245906249,697589.6531628751,1212403.2296670831,722892.3751227644,1054884.5065000001
2022-06-02,875597.6245906249,697141.6852828751,1208848.2296670831,722469.4072427644,1043949.5065
2022-06-06,875597.6245906249,696913.297757875,1214773.2296670831,722221.0197177643,1051239.5065
2022-06-07,875597.6245906249,695901.068050375,1218328.2296670831,721324.7864852643,1040709.5065
2022-06-08,875597.6245906249,696031.068050375,1220303.2296670831,721439.7864852643,1052049.5065000001
2022-06-09,875597.6245906249,697691.323125375,1220698.2296670831,722122.4588490144,1048809.5065000001
2022-06-10,875597.6245906249,697761.323125375,1219118.2296670831,722436.0725540144,1038279.5065
2022-06-13,875597.6245906249,696286.323125375,1217933.2296670831,719526.0725540144,1009524.5065
2022-06-14,875597.6245906249,696446.323125375,1215563.2296670831,719546.0725540144,1007904.5065
2022-06-15,875597.6245906249,694632.397687875,1222278.2296670831,719296.4508165143,1003044.5065
2022-06-16,875597.6245906249,694432.469193375,1202528.2296670831,718378.2356695143,1001019.5065
2022-06-17,875597.6245906249,693450.153014625,1203713.2296670831,718832.6359588893,987654.5065
2022-06-20,875597.6245906249,692410.889729625,1200948.2296670831,715878.3726738893,978744.5065
2022-06-21,875597.6245906249,692574.9679211249,1202133.2296670831,718376.7146528892,998589.5065
2022-06-22,875597.6245906249,691803.7298786248,1201343.2296670831,716634.5851428891,976719.5065
2022-06-23,875597.6245906249,692442.2849411248,1199368.2296670831,718071.8096428891,963759.5065
2022-06-24,875597.6245906249,694044.2849411248,1201343.2296670831,719544.8096428891,965784.5065
2022-06-27,875597.6245906249,694167.2849411248,1201343.2296670831,720681.8096428891,988464.5065
